Item Code,Items Name (Key),Payment
SFW-1,SF ကိုင်း (G) 'SC' High Speed,USD
SFW-2,SF ကိုင်း (G) 'SC',USD
SFW-3,SF ထွန်ခုံ (24) သွား (ရှပ်သေး),USD
SFW-4,DF ထွန်ခုံ (18) သွား,USD
SFW-5,DF ထွန်ခုံ (24) သွား,USD
SFW-6,SF ရိတ်ခြွေ (Model 4LZ 1.5) ခေါင်းပိုင်းစုံ။,USD
SFW-7,SF ရိတ်ခြွေ (Model 4LZ 1.0) ခေါင်းပိုင်းစုံ။,USD
SFW-8,4 Wheel Tractor Model (354) (လိမ္မော်) (နွေတာယာတပ်လျှက်),USD
SFW-9,4 Wheel Tracror Model (554) (လိမ္မော်) (မိုးတာယာတပ်လျှက်),USD
SFE-1,SF 1100 G (ZS),USD
SFE-2,SF 1100 N,USD
SFE-3,SF 1110 G,USD
SFE-4,SF 1110 N,USD
SFE-5,SF 1115 G,USD
SFE-6,SF 1115 N,USD
SFE-7,SF 1115 M (CH),USD
SFE-8,SF 1125 G,USD
SFE-9,SF 1130 G,USD
SFE-10,SF 195 N,USD
SFT-1,400 x 8 တာယာ + ကျွတ်,MMK
SFT-2,600 x 12 တာယာ + ကျွတ် (T),MMK
XX-1,JY ကိုင်း (Gear) High Speed,USD
XX-2,SDF (BP) ကိုင်း (Gear) (New),USD
XX-3,JY ထွန်ခုံ (18) သွား (LB) (New),USD
XX-4,JY ထွန်ခုံ (28) သွား,USD
XX-5,JY ထွန်ခုံ (28) သွားမှ ဂီယာအုံ,USD
XX-6,SDF (BP) ထွန်ခုံ (18) သွား,USD
XX-7,SDF (BP) ထွန်ခုံ (24) သွား,USD
XX-8,JY စူပါသံဘီး,USD
XX-9,DF သံဘီး (16) လက်,USD
XX-10,DF သံဘီး (18) လက်,USD
XX-11,SHIFENG 1100 L (ZS),USD
XX-12,SHIFENG 1110 L (ZS),USD
XX-13,600 x 12 ဂွေ (SF),USD
XX-14,400 x 8 ဂွေ (SF),USD
XX-15,400 x 8 ဂွေ (DF),USD
GN-1,GN ထွန်ခုံ (16) သွား,USD
GN-2,GN ထွန်ခုံ (18) သွား,USD
GN-3,GN သုံးသွားလင်ဗန်းထယ် (Gear),USD
GN-4,GN မြက်ဖြတ်စက်,USD
AU-1,ယိုးဒယားကိုင်း (NC+X) True Chang (ထွန်ခြစ် + သံဘီးပါ။),USD
AU-2,ယိုးဒယားကိုင်း NC Plus x (New),USD
AU-3,RE 140 Engine,USD
AU-4,RE 155 Engine,USD
AU-5,နှစ်သွားလင်ဗန်းထယ် (Auten),USD
AU-6,ယိုးဒယားကိုင်း RE (141) မှ ထွန်ခြစ် (အပို),USD
